target,x,y
C1,332,902
C1,273,847
C1,341,782
C1,356,832
C1,304,807
C1,291,807
C1,247,810
C1,312,851
C1,302,792
C1,303,764
C1,285,762
C1,267,790
C1,203,761
C1,190,773
C1,231,775
C1,225,790
C1,146,819
C1,225,743
C1,248,692
C1,229,741
C1,206,739
C1,163,781
C1,151,650
C1,177,664
C1,221,595
C1,209,645
C1,118,574
C1,150,630
C1,96,552
C1,137,568
C1,163,542
C1,144,573
C1,189,504
C1,188,474
C1,192,523
C1,232,461
C1,201,529
C1,193,462
C1,195,462
C1,222,469
C1,220,375
C1,243,491
C1,148,414
C1,258,441
C1,173,412
C1,233,389
C1,251,419
C1,249,366
C1,245,358
C1,254,355
C1,225,304
C1,263,348
C1,284,368
C1,299,349
C1,301,331
C1,345,307
C1,365,368
C1,362,314
C1,362,326
C1,313,299
C1,318,326
C1,398,303
C1,358,385
C1,383,363
C1,464,888
C1,404,853
C1,425,884
C1,357,869
C1,308,881
C1,360,888
C1,375,923
C1,368,797
C1,322,846
C1,292,759
C1,261,772
C1,245,764
C1,271,786
C1,333,765
C1,238,772
C1,221,685
C1,222,709
C1,194,649
C1,223,717
C1,189,698
C1,245,666
C1,183,660
C1,188,621
C1,210,652
C1,198,622
C1,229,634
C1,223,607
C1,205,629
C1,206,618
C1,199,561
C1,204,603
C1,145,615
C1,147,642
C1,139,609
C1,210,574
C1,223,642
C1,170,546
C1,208,527
C1,244,561
C1,219,492
C1,178,543
C1,152,455
C1,210,443
C1,221,494
C1,211,413
C1,191,416
C1,256,419
C1,261,505
C1,242,446
C1,184,440
C1,218,439
C1,276,432
C1,259,371
C1,229,423
C1,268,364
C1,305,384
C1,261,333
C1,347,334
C1,291,322
C1,297,302
C1,324,365
C1,331,371
C1,315,276
C1,295,329
C1,348,302
C1,374,332
C1,356,286
C1,384,965
C1,403,885
C1,456,896
C1,396,954
C1,366,872
C1,379,888
C1,342,925
C1,357,894
C1,351,914
C1,370,893
C1,315,907
C1,293,864
C1,230,880
C1,346,818
C1,303,829
C1,301,820
C1,267,834
C1,243,808
C1,226,805
C1,178,754
C1,125,778
C1,197,761
C1,201,722
C1,164,676
C1,186,723
C1,146,685
C1,182,699
C1,149,649
C1,169,689
C1,153,647
C1,77,651
C1,117,615
C1,141,589
C1,118,573
C1,151,575
C1,129,527
C1,162,510
C1,131,481
C1,96,489
C1,150,527
C1,152,490
C1,232,502
C1,188,387
C1,193,456
C1,186,410
C1,218,416
C1,288,427
C1,306,373
C1,308,377
C1,265,378
C1,335,395
C1,294,343
C1,338,349
C1,316,314
C1,363,306
C1,394,329
C1,363,329
C1,381,369
C1,319,375
C1,268,701
C1,260,758
C1,291,760
C1,235,754
C1,261,715
C1,263,696
C1,235,647
C1,174,553
C1,189,563
C1,221,585
C1,135,616
C1,190,615
C1,188,578
C1,181,609
C1,160,601
C1,149,671
C1,222,770
C1,421,928
C1,420,931
C1,369,919
C1,402,897
C1,388,898
C1,386,981
C1,388,919
C1,393,910
C1,375,911
C1,377,903
C1,473,921
C1,459,935
C1,384,915
C1,285,979
C1,310,769
C1,339,892
C1,265,865
C1,324,866
C1,167,874
C1,198,838
C1,166,754
C1,166,798
C1,167,694
C1,81,595
C1,163,641
C1,231,298
C1,196,350
C1,189,288
C1,219,335
C1,347,846
C1,325,851
C1,455,947
C1,417,914
C1,500,940
C1,478,880
C1,430,861
C1,318,734
C1,255,744
C1,208,643
C1,156,680
C1,249,653
C1,220,703
C1,226,708
C1,145,671
C1,195,690
C1,285,704
C1,178,604
